id;hitster_url;youtube_url;artist;title;year
1;www.hitstergame.com/nl/aaaa0029/00001;https://music.youtube.com/watch?v=8vf_cTDifPE;André van Duin;Duudeljoo [De Duinstappers];2012
2;www.hitstergame.com/nl/aaaa0029/00002;https://music.youtube.com/watch?v=GgW-5l5o24w;Rowwen Hèze;Limburg;2005
3;www.hitstergame.com/nl/aaaa0029/00003;https://music.youtube.com/watch?v=Pgh_EymgrxQ;Danny De Munk;Vrienden Voor Het Leven;1991
4;www.hitstergame.com/nl/aaaa0029/00004;https://music.youtube.com/watch?v=t09F-_UsGNc;Lee Towers;You Never Walk Alone;1976
5;www.hitstergame.com/nl/aaaa0029/00005;https://music.youtube.com/watch?v=su5mSoREoso;Rolf Sanchez;Más Más Más;2020
6;www.hitstergame.com/nl/aaaa0029/00006;https://music.youtube.com/watch?v=ii4gtE6dsrw;Danny Vera;Roller Coaster;2019
7;www.hitstergame.com/nl/aaaa0029/00007;https://music.youtube.com/watch?v=FKGHTcaDSWM;Miss Montreal;Being Alone At Christmas;2010
8;www.hitstergame.com/nl/aaaa0029/00008;https://music.youtube.com/watch?v=JgmVucsSWZE;Volumia!;Blijf Bij Mij;1999
9;www.hitstergame.com/nl/aaaa0029/00009;https://music.youtube.com/watch?v=0KYJDwlLquA;Abel;Onderweg;2000
10;www.hitstergame.com/nl/aaaa0029/00010;https://music.youtube.com/watch?v=8L60r1EvjrE;Circus Custers;Monica;1989
11;www.hitstergame.com/nl/aaaa0029/00011;https://music.youtube.com/watch?v=A3cHmcJWIGY;The Amazing Stroopwafels;Oude Maasweg;1994
12;www.hitstergame.com/nl/aaaa0029/00012;https://music.youtube.com/watch?v=L-AiGR8wC6Y;Ilse DeLange;I'm Not so Tough;2003
13;www.hitstergame.com/nl/aaaa0029/00013;https://music.youtube.com/watch?v=Ywo_j8o2X2k;De Dijk;Als Ze Er Niet Is;1994
14;www.hitstergame.com/nl/aaaa0029/00014;https://music.youtube.com/watch?v=G7qOXdzMe6I;BZN;The Banjo Man;1994
15;www.hitstergame.com/nl/aaaa0029/00015;https://music.youtube.com/watch?v=KDFoDKJvxU8;Def Rhymz;Schudden;2001
16;www.hitstergame.com/nl/aaaa0029/00016;https://music.youtube.com/watch?v=Iko24bY_vhc;Nielson;Beauty & De Brains;2014
17;www.hitstergame.com/nl/aaaa0029/00017;https://music.youtube.com/watch?v=UTgPMip2TO8;Paul de Leeuw;Vlieg Met Me Mee - Live 1992;1992
18;www.hitstergame.com/nl/aaaa0029/00018;https://music.youtube.com/watch?v=s2qCnnMlGOI;Edsilia Rombley;Hemel & Aarde;2006
19;www.hitstergame.com/nl/aaaa0029/00019;https://music.youtube.com/watch?v=awCDIBdSec0;Jaap Reesema;Alles Komt Goed;2021
20;www.hitstergame.com/nl/aaaa0029/00020;https://music.youtube.com/watch?v=O2LDfEgTtdU;Willeke Alberti;Telkens Weer;1975
21;www.hitstergame.com/nl/aaaa0029/00021;https://music.youtube.com/watch?v=_49xwDtirTc;S10;Adem Je In;2021
22;www.hitstergame.com/nl/aaaa0029/00022;https://music.youtube.com/watch?v=6OcgKe5JJDY;Emma Heesters,Rolf Sanchez,Beste Zangers;Pa Olvidarte;2019
23;www.hitstergame.com/nl/aaaa0029/00023;https://music.youtube.com/watch?v=8VYCSJF7fwA;Vader Abraham;Smurfenlied;1977
24;www.hitstergame.com/nl/aaaa0029/00024;https://music.youtube.com/watch?v=SBuUKvVplo0;Lucas & Steve;Up Till Dawn (On The Move);2017
25;www.hitstergame.com/nl/aaaa0029/00025;https://music.youtube.com/watch?v=HUIL7qWrE3c;Intwine;Happy?;2003
26;www.hitstergame.com/nl/aaaa0029/00026;https://music.youtube.com/watch?v=QrVof_AGW_0;Counting Crows,BLØF;Holiday In Spain;2012
27;www.hitstergame.com/nl/aaaa0029/00027;https://music.youtube.com/watch?v=PIPfE4ev0js;Thomas Acda,Paul de Munnik,Maan,Typhoon;Als Ik Je Weer Zie;2021
28;www.hitstergame.com/nl/aaaa0029/00028;https://music.youtube.com/watch?v=hjl04DETZHI;Mannenkoor Karrespoor;Mooi Man;1991
29;www.hitstergame.com/nl/aaaa0029/00029;https://music.youtube.com/watch?v=-q7d41dmPjs;Sieneke;Ik Ben Verliefd (sha - La - Lie);2010
30;www.hitstergame.com/nl/aaaa0029/00030;https://music.youtube.com/watch?v=dCNa2acX0BE;Pasadena Dream Band;Zandvoort - Original Radio Edit;1986
31;www.hitstergame.com/nl/aaaa0029/00031;https://music.youtube.com/watch?v=nWAReWeOi7Y;André Hazes Jr.;Ik Leef Mijn Eigen Leven;2016
32;www.hitstergame.com/nl/aaaa0029/00032;https://music.youtube.com/watch?v=0CcwQk6Xc9Y;Diesel;Sausalito Summernight;2000
33;www.hitstergame.com/nl/aaaa0029/00033;https://music.youtube.com/watch?v=2YIUo_hZ8eU;Corry Konings;Leven En Laten Leven;1990
34;www.hitstergame.com/nl/aaaa0029/00034;https://music.youtube.com/watch?v=C7yzITgLCpQ;Erik Mesie;Zonder Jou;1986
35;www.hitstergame.com/nl/aaaa0029/00035;https://music.youtube.com/watch?v=QH3kHeRSaUc;Frank Boeijen Groep;Zwart Wit;1988
36;www.hitstergame.com/nl/aaaa0029/00036;https://music.youtube.com/watch?v=fS9Erdjogsk;De Kreuners;Ik wil je;1990
37;www.hitstergame.com/nl/aaaa0029/00037;https://music.youtube.com/watch?v=-kejeU8dnzE;Hero;Toen Ik Je Zag - Single Version;1998
38;www.hitstergame.com/nl/aaaa0029/00038;https://music.youtube.com/watch?v=1hQFMNWtQks;Henk Wijngaard;He Suzie;1990
39;www.hitstergame.com/nl/aaaa0029/00039;https://music.youtube.com/watch?v=ev73Z0sKbAE;Bert Heerink;Juli July (Brother Louie);1995
40;www.hitstergame.com/nl/aaaa0029/00040;https://music.youtube.com/watch?v=PGHXtM6qwDM;Roxy Dekker;Satisfyer;2023
41;www.hitstergame.com/nl/aaaa0029/00041;https://music.youtube.com/watch?v=trGdCR8vFdk;The Cooldown Café,DJ Stefan;Hey Baby (Uhh, Ahh);2001
42;www.hitstergame.com/nl/aaaa0029/00042;https://music.youtube.com/watch?v=Ia3fRsYS0iQ;T-Spoon;Sex on the Beach - Ibiza Radio Mix;2011
43;www.hitstergame.com/nl/aaaa0029/00043;https://music.youtube.com/watch?v=BSPpwY72t_s;Henk Wijngaard;Ik Moet Nog Wat Jaren Mee;1991
44;www.hitstergame.com/nl/aaaa0029/00044;https://music.youtube.com/watch?v=CVAJIPFZ02g;VanVelzen;Baby Get Higher;2008
45;www.hitstergame.com/nl/aaaa0029/00045;https://music.youtube.com/watch?v=LpJRi8UVuNY;Doris D.,The Pins;Shine Up;1991
46;www.hitstergame.com/nl/aaaa0029/00046;https://music.youtube.com/watch?v=cdO6Q854dHc;Krystl;Golden Days;2011
47;www.hitstergame.com/nl/aaaa0029/00047;https://music.youtube.com/watch?v=oLIrZ23AzLo;Koos Alberts;Ik Verscheurde Je Foto;1984
48;www.hitstergame.com/nl/aaaa0029/00048;https://music.youtube.com/watch?v=feGTaNK8pTA;De Jeugd Van Tegenwoordig;Watskeburt?!;2010
49;www.hitstergame.com/nl/aaaa0029/00049;https://music.youtube.com/watch?v=OvSmdx1ukwc;Boudewijn de Groot;Avond;1996
50;www.hitstergame.com/nl/aaaa0029/00050;https://music.youtube.com/watch?v=A6GFu3JDd2g;Handsome Poets;Sky on Fire;2012
51;www.hitstergame.com/nl/aaaa0029/00051;https://music.youtube.com/watch?v=Obdv1jghXAE;Focus;Hocus Pocus;2010
52;www.hitstergame.com/nl/aaaa0029/00052;https://music.youtube.com/watch?v=ao8Jz6C8KaI;Metejoor,Hannah Mae;Wat Wil Je Van Mij;2022
53;www.hitstergame.com/nl/aaaa0029/00053;https://music.youtube.com/watch?v=tjPjBGjQMFc;John West,Lange Frans;Lekkerding;2016
54;www.hitstergame.com/nl/aaaa0029/00054;https://music.youtube.com/watch?v=t0K_i40JV3Y;Andre Hazes;Wij Houden Van Oranje;2006
55;www.hitstergame.com/nl/aaaa0029/00055;https://music.youtube.com/watch?v=NtD6HV4RqTI;Benny Neyman;Vrijgezel;1981
56;www.hitstergame.com/nl/aaaa0029/00056;https://music.youtube.com/watch?v=bqNsSSGZBh0;Vinzzent;Dromendans;2011
57;www.hitstergame.com/nl/aaaa0029/00057;https://music.youtube.com/watch?v=aysyNujONpY;Jamai;Step Right Up;2003
58;www.hitstergame.com/nl/aaaa0029/00058;https://music.youtube.com/watch?v=UpXOo1zqo6M;Nielson;IJskoud;2018
59;www.hitstergame.com/nl/aaaa0029/00059;https://music.youtube.com/watch?v=rKRLulH1moE;Lange Frans,Baas B;Het Land Van - Live;2005
60;www.hitstergame.com/nl/aaaa0029/00060;https://music.youtube.com/watch?v=Lal7Mni3FcA;Duncan Laurence;Arcade;2019
61;www.hitstergame.com/nl/aaaa0029/00061;https://music.youtube.com/watch?v=O3VeCrT-4RM;Toontje Lager;Stiekem Gedanst;1983
62;www.hitstergame.com/nl/aaaa0029/00062;https://music.youtube.com/watch?v=DDf-FOhXCd4;Rob De Nijs;Zondag;2022
63;www.hitstergame.com/nl/aaaa0029/00063;https://music.youtube.com/watch?v=PmkH7dUKrRs;Rene Froger;Winter in America;1988
64;www.hitstergame.com/nl/aaaa0029/00064;https://music.youtube.com/watch?v=lQ5MTFXAkjk;Koos Alberts;Zijn Het Je Ogen;1988
65;www.hitstergame.com/nl/aaaa0029/00065;https://music.youtube.com/watch?v=hLQ5X5IqS-o;Davina Michelle;Skyward;2019
66;www.hitstergame.com/nl/aaaa0029/00066;https://music.youtube.com/watch?v=MSNGLwLDqoY;Jeroen van Koningsbrugge;Wit Licht;2015
