id;hitster_url;youtube_url;artist;title;year
1;;https://music.youtube.com/watch?v=5qm8PH4xAss;50 Cent;In Da Club;2009
2;;https://music.youtube.com/watch?v=bESGLojNYSo;Lady Gaga;Poker Face;2009
3;;https://music.youtube.com/watch?v=YVkUvmDQ3HY;Eminem;Without Me;2002
4;;https://music.youtube.com/watch?v=GxBSyx85Kp8;Usher;Yeah!  ft. Lil Jon, Ludacris;2015
5;;https://music.youtube.com/watch?v=bKDdT_nyP54;Akon;Smack That  ft. Eminem;2009
6;;https://music.youtube.com/watch?v=0J3vgcE5i2o;Nelly Furtado;Promiscuous  ft. Timbaland;2009
7;;https://music.youtube.com/watch?v=DUT5rEU6pqM;Shakira;Hips Don't Lie  ft. Wyclef Jean;2009
8;;https://music.youtube.com/watch?v=CvBfHwUxHIk;Rihanna;Umbrella  ft. JAY-Z;2009
9;;https://music.youtube.com/watch?v=-N4jf6rtyuw;Gnarls Barkley;Crazy;2006
10;;https://music.youtube.com/watch?v=znlFu_lemsU;Mary J. Blige;Family Affair;2001
11;;https://music.youtube.com/watch?v=sTMgX1PDGAE;Shaggy;It Wasn't Me;2019
12;;https://music.youtube.com/watch?v=LOZuxwVk7TU;Britney Spears;Toxic;2009
13;;https://music.youtube.com/watch?v=HyHNuVaZJ-k;Gorillaz;Feel Good Inc.;2005
14;;https://music.youtube.com/watch?v=kTHNpusq654;Katy Perry;Hot N Cold;2008
15;;https://music.youtube.com/watch?v=eJO5HU_7_1w;Eminem;The Real Slim Shady;2001
16;;https://music.youtube.com/watch?v=SRcnnId15BA;50 Cent;Candy Shop  ft. Olivia;2009
17;;https://music.youtube.com/watch?v=4m1EFMoRFvY;Beyoncé;Single Ladies (Put a Ring on It) (Video Version);2009
18;;https://music.youtube.com/watch?v=H64QG4UsrGI;Mario;Let Me Love You;2014
19;;https://music.youtube.com/watch?v=ViwtNLUqkMY;Beyoncé;Crazy In Love ft. JAY Z;2009
20;;https://music.youtube.com/watch?v=iEe_eraFWWs;The Black Eyed Peas;My Humps;2009
21;;https://music.youtube.com/watch?v=uSD4vsh1zDA;The Black Eyed Peas;I Gotta Feeling;2009
22;;https://music.youtube.com/watch?v=weRHyjj34ZE;Shakira;Whenever, Wherever;2009
23;;https://music.youtube.com/watch?v=PWgvGjAhvIw;Outkast;Hey Ya!;2009
24;;https://music.youtube.com/watch?v=yd8jh9QYfEs;Rihanna;Don't Stop The Music;2009
25;;https://music.youtube.com/watch?v=U5rLz5AZBIA;Timbaland;The Way I Are ft. Keri Hilson, D.O.E., Sebastian;2009
26;;https://music.youtube.com/watch?v=iP6XpLQM2Cs;Ke$ha;TiK ToK;2009
27;;https://music.youtube.com/watch?v=UDApZhXTpH8;50 Cent;P.I.M.P. (Snoop Dogg Remix) ft. Snoop Dogg, G-Unit;2009
28;;https://music.youtube.com/watch?v=e82VE8UtW8A;Rihanna;Rude Boy;2010
29;;https://music.youtube.com/watch?v=0habxsuXW4g;Mariah Carey;We Belong Together;2009
30;;https://music.youtube.com/watch?v=2IH8tNQAzSs;Lil Wayne;Lollipop  ft. Static;2009
31;;https://music.youtube.com/watch?v=8UFIYGkROII;Soulja Boy Tell'em;Crank That;2009
32;;https://music.youtube.com/watch?v=RQa7SvVCdZk;Christina Aguilera, Lil' Kim, Mya, P!nk;Lady Marmalade;2009
33;;https://music.youtube.com/watch?v=c18441Eh_WE;Kylie Minogue;Can't Get You Out Of My Head;2009
34;;https://music.youtube.com/watch?v=YNSxNsr4wmA;The Pussycat Dolls;Don't Cha  ft. Busta Rhymes;2009
35;;https://music.youtube.com/watch?v=EDwb9jOVRtU;Madonna;Hung Up;2009
36;;https://music.youtube.com/watch?v=FGBhQbmPwH8;Daft Punk;One More Time;2009
37;;https://music.youtube.com/watch?v=U2waT9TxPU0;Flo Rida;Low;2009
38;;https://music.youtube.com/watch?v=2Abk1jAONjw;Lady Gaga;Just Dance  ft. Colby O'Donis;2009
39;;https://music.youtube.com/watch?v=dW2MmuA1nI4;Sean Paul;Temperature;2009
40;;https://music.youtube.com/watch?v=AxFhwtwiw6o;Diddy;Last Night;2016
41;;https://music.youtube.com/watch?v=IxszlJppRQI;Ne;Yo - So Sick;2009
42;;https://music.youtube.com/watch?v=p_RqWocthcc;Keri Hilson;Knock You Down  ft. Kanye West, Ne-Yo;2009
43;;https://music.youtube.com/watch?v=rMqayQ-U74s;Britney Spears;Womanizer;2009
44;;https://music.youtube.com/watch?v=u2_E62NY3hg;Nina Sky;Move Ya Body  ft. Jabba;2021
45;;https://music.youtube.com/watch?v=CtwJvgPJ9xw;Chamillionaire;Ridin'  ft. Krayzie Bone;2009
46;;https://music.youtube.com/watch?v=6vwNcNOTVzY;Kanye West;Gold Digger ft. Jamie Foxx;2009
47;;https://music.youtube.com/watch?v=VpvyG2NrS1Y;Fat Joe;What's Luv? ft. Ashanti;2012
48;;https://music.youtube.com/watch?v=GtUVQei3nX4;Snoop Dogg;Drop It Like It's Hot  ft. Pharrell Williams;2009
49;;https://music.youtube.com/watch?v=XPpTgCho5ZA;Maroon 5;This Love;2009
50;;https://music.youtube.com/watch?v=d2smz_1L2_0;Lady Gaga;Paparazzi;2009
51;;https://music.youtube.com/watch?v=5qm8PH4xAss;50 Cent;In Da Club;2009
52;;https://music.youtube.com/watch?v=bESGLojNYSo;Lady Gaga;Poker Face;2009
53;;https://music.youtube.com/watch?v=YVkUvmDQ3HY;Eminem;Without Me;2009
54;;https://music.youtube.com/watch?v=GxBSyx85Kp8;Usher;Yeah!  ft. Lil Jon, Ludacris;2015
55;;https://music.youtube.com/watch?v=bKDdT_nyP54;Akon;Smack That  ft. Eminem;2009
56;;https://music.youtube.com/watch?v=0J3vgcE5i2o;Nelly Furtado;Promiscuous  ft. Timbaland;2009
57;;https://music.youtube.com/watch?v=DUT5rEU6pqM;Shakira;Hips Don't Lie  ft. Wyclef Jean;2009
58;;https://music.youtube.com/watch?v=CvBfHwUxHIk;Rihanna;Umbrella  ft. JAY-Z;2009
59;;https://music.youtube.com/watch?v=-N4jf6rtyuw;Gnarls Barkley;Crazy;2009
60;;https://music.youtube.com/watch?v=znlFu_lemsU;Mary J. Blige;Family Affair;2009
61;;https://music.youtube.com/watch?v=sTMgX1PDGAE;Shaggy;It Wasn't Me;2019
62;;https://music.youtube.com/watch?v=LOZuxwVk7TU;Britney Spears;Toxic;2009
63;;https://music.youtube.com/watch?v=HyHNuVaZJ-k;Gorillaz;Feel Good Inc.;2016
64;;https://music.youtube.com/watch?v=kTHNpusq654;Katy Perry;Hot N Cold;2008
65;;https://music.youtube.com/watch?v=eJO5HU_7_1w;Eminem;The Real Slim Shady;2010
66;;https://music.youtube.com/watch?v=SRcnnId15BA;50 Cent;Candy Shop  ft. Olivia;2009
67;;https://music.youtube.com/watch?v=4m1EFMoRFvY;Beyoncé;Single Ladies (Put a Ring on It) (Video Version);2009
68;;https://music.youtube.com/watch?v=H64QG4UsrGI;Mario;Let Me Love You;2014
69;;https://music.youtube.com/watch?v=ViwtNLUqkMY;Beyoncé;Crazy In Love ft. JAY Z;2009
70;;https://music.youtube.com/watch?v=iEe_eraFWWs;The Black Eyed Peas;My Humps;2009
71;;https://music.youtube.com/watch?v=uSD4vsh1zDA;The Black Eyed Peas;I Gotta Feeling;2009
72;;https://music.youtube.com/watch?v=weRHyjj34ZE;Shakira;Whenever, Wherever;2009
73;;https://music.youtube.com/watch?v=PWgvGjAhvIw;Outkast;Hey Ya!;2009
74;;https://music.youtube.com/watch?v=yd8jh9QYfEs;Rihanna;Don't Stop The Music;2009
75;;https://music.youtube.com/watch?v=U5rLz5AZBIA;Timbaland;The Way I Are ft. Keri Hilson, D.O.E., Sebastian;2009
76;;https://music.youtube.com/watch?v=iP6XpLQM2Cs;Ke$ha;TiK ToK;2009
77;;https://music.youtube.com/watch?v=UDApZhXTpH8;50 Cent;P.I.M.P. (Snoop Dogg Remix) ft. Snoop Dogg, G-Unit;2009
78;;https://music.youtube.com/watch?v=e82VE8UtW8A;Rihanna;Rude Boy;2010
79;;https://music.youtube.com/watch?v=0habxsuXW4g;Mariah Carey;We Belong Together;2009
80;;https://music.youtube.com/watch?v=2IH8tNQAzSs;Lil Wayne;Lollipop  ft. Static;2009
81;;https://music.youtube.com/watch?v=8UFIYGkROII;Soulja Boy Tell'em;Crank That;2009
82;;https://music.youtube.com/watch?v=RQa7SvVCdZk;Christina Aguilera, Lil' Kim, Mya, P!nk;Lady Marmalade;2009
83;;https://music.youtube.com/watch?v=c18441Eh_WE;Kylie Minogue;Can't Get You Out Of My Head;2009
84;;https://music.youtube.com/watch?v=YNSxNsr4wmA;The Pussycat Dolls;Don't Cha  ft. Busta Rhymes;2009
85;;https://music.youtube.com/watch?v=EDwb9jOVRtU;Madonna;Hung Up;2009
86;;https://music.youtube.com/watch?v=FGBhQbmPwH8;Daft Punk;One More Time;2009
87;;https://music.youtube.com/watch?v=U2waT9TxPU0;Flo Rida;Low;2009
88;;https://music.youtube.com/watch?v=2Abk1jAONjw;Lady Gaga;Just Dance  ft. Colby O'Donis;2009
89;;https://music.youtube.com/watch?v=dW2MmuA1nI4;Sean Paul;Temperature;2009
90;;https://music.youtube.com/watch?v=AxFhwtwiw6o;Diddy;Last Night;2016
91;;https://music.youtube.com/watch?v=IxszlJppRQI;Ne;Yo - So Sick;2009
92;;https://music.youtube.com/watch?v=p_RqWocthcc;Keri Hilson;Knock You Down  ft. Kanye West, Ne-Yo;2009
93;;https://music.youtube.com/watch?v=rMqayQ-U74s;Britney Spears;Womanizer;2009
94;;https://music.youtube.com/watch?v=u2_E62NY3hg;Nina Sky;Move Ya Body  ft. Jabba;2021
95;;https://music.youtube.com/watch?v=CtwJvgPJ9xw;Chamillionaire;Ridin'  ft. Krayzie Bone;2009
96;;https://music.youtube.com/watch?v=6vwNcNOTVzY;Kanye West;Gold Digger ft. Jamie Foxx;2009
97;;https://music.youtube.com/watch?v=VpvyG2NrS1Y;Fat Joe;What's Luv? ft. Ashanti;2012
98;;https://music.youtube.com/watch?v=GtUVQei3nX4;Snoop Dogg;Drop It Like It's Hot  ft. Pharrell Williams;2009
99;;https://music.youtube.com/watch?v=XPpTgCho5ZA;Maroon 5;This Love;2009
100;;https://music.youtube.com/watch?v=iBHNgV6_znU;Ciara;1, 2 Step  ft. Missy Elliott;2009
101;;https://music.youtube.com/watch?v=5qm8PH4xAss;50 Cent;In Da Club;2009
102;;https://music.youtube.com/watch?v=bESGLojNYSo;Lady Gaga;Poker Face;2009
103;;https://music.youtube.com/watch?v=YVkUvmDQ3HY;Eminem;Without Me;2009
104;;https://music.youtube.com/watch?v=GxBSyx85Kp8;Usher;Yeah!  ft. Lil Jon, Ludacris;2015
105;;https://music.youtube.com/watch?v=bKDdT_nyP54;Akon;Smack That  ft. Eminem;2009
106;;https://music.youtube.com/watch?v=0J3vgcE5i2o;Nelly Furtado;Promiscuous  ft. Timbaland;2009
107;;https://music.youtube.com/watch?v=DUT5rEU6pqM;Shakira;Hips Don't Lie  ft. Wyclef Jean;2009
108;;https://music.youtube.com/watch?v=CvBfHwUxHIk;Rihanna;Umbrella  ft. JAY-Z;2009
109;;https://music.youtube.com/watch?v=-N4jf6rtyuw;Gnarls Barkley;Crazy;2009
110;;https://music.youtube.com/watch?v=znlFu_lemsU;Mary J. Blige;Family Affair;2009
111;;https://music.youtube.com/watch?v=sTMgX1PDGAE;Shaggy;It Wasn't Me;2019
112;;https://music.youtube.com/watch?v=LOZuxwVk7TU;Britney Spears;Toxic;2009
113;;https://music.youtube.com/watch?v=HyHNuVaZJ-k;Gorillaz;Feel Good Inc.;2016
114;;https://music.youtube.com/watch?v=kTHNpusq654;Katy Perry;Hot N Cold;2008
115;;https://music.youtube.com/watch?v=eJO5HU_7_1w;Eminem;The Real Slim Shady;2010
116;;https://music.youtube.com/watch?v=SRcnnId15BA;50 Cent;Candy Shop  ft. Olivia;2009
117;;https://music.youtube.com/watch?v=4m1EFMoRFvY;Beyoncé;Single Ladies (Put a Ring on It) (Video Version);2009
118;;https://music.youtube.com/watch?v=H64QG4UsrGI;Mario;Let Me Love You;2014
119;;https://music.youtube.com/watch?v=ViwtNLUqkMY;Beyoncé;Crazy In Love ft. JAY Z;2009
120;;https://music.youtube.com/watch?v=iEe_eraFWWs;The Black Eyed Peas;My Humps;2009
121;;https://music.youtube.com/watch?v=uSD4vsh1zDA;The Black Eyed Peas;I Gotta Feeling;2009
122;;https://music.youtube.com/watch?v=weRHyjj34ZE;Shakira;Whenever, Wherever;2009
123;;https://music.youtube.com/watch?v=PWgvGjAhvIw;Outkast;Hey Ya!;2009
124;;https://music.youtube.com/watch?v=yd8jh9QYfEs;Rihanna;Don't Stop The Music;2009
125;;https://music.youtube.com/watch?v=U5rLz5AZBIA;Timbaland;The Way I Are ft. Keri Hilson, D.O.E., Sebastian;2009
126;;https://music.youtube.com/watch?v=iP6XpLQM2Cs;Ke$ha;TiK ToK;2009
127;;https://music.youtube.com/watch?v=UDApZhXTpH8;50 Cent;P.I.M.P. (Snoop Dogg Remix) ft. Snoop Dogg, G-Unit;2009
128;;https://music.youtube.com/watch?v=e82VE8UtW8A;Rihanna;Rude Boy;2010
129;;https://music.youtube.com/watch?v=0habxsuXW4g;Mariah Carey;We Belong Together;2009
130;;https://music.youtube.com/watch?v=2IH8tNQAzSs;Lil Wayne;Lollipop  ft. Static;2009
131;;https://music.youtube.com/watch?v=8UFIYGkROII;Soulja Boy Tell'em;Crank That;2009
132;;https://music.youtube.com/watch?v=RQa7SvVCdZk;Christina Aguilera, Lil' Kim, Mya, P!nk;Lady Marmalade;2009
133;;https://music.youtube.com/watch?v=c18441Eh_WE;Kylie Minogue;Can't Get You Out Of My Head;2009
134;;https://music.youtube.com/watch?v=YNSxNsr4wmA;The Pussycat Dolls;Don't Cha  ft. Busta Rhymes;2009
135;;https://music.youtube.com/watch?v=EDwb9jOVRtU;Madonna;Hung Up;2009
136;;https://music.youtube.com/watch?v=FGBhQbmPwH8;Daft Punk;One More Time;2009
137;;https://music.youtube.com/watch?v=U2waT9TxPU0;Flo Rida;Low;2009
138;;https://music.youtube.com/watch?v=2Abk1jAONjw;Lady Gaga;Just Dance  ft. Colby O'Donis;2009
139;;https://music.youtube.com/watch?v=dW2MmuA1nI4;Sean Paul;Temperature;2009
140;;https://music.youtube.com/watch?v=AxFhwtwiw6o;Diddy;Last Night;2016
141;;https://music.youtube.com/watch?v=IxszlJppRQI;Ne;Yo - So Sick;2009
142;;https://music.youtube.com/watch?v=p_RqWocthcc;Keri Hilson;Knock You Down  ft. Kanye West, Ne-Yo;2009
143;;https://music.youtube.com/watch?v=rMqayQ-U74s;Britney Spears;Womanizer;2009
144;;https://music.youtube.com/watch?v=u2_E62NY3hg;Nina Sky;Move Ya Body  ft. Jabba;2021
145;;https://music.youtube.com/watch?v=CtwJvgPJ9xw;Chamillionaire;Ridin'  ft. Krayzie Bone;2009
146;;https://music.youtube.com/watch?v=6vwNcNOTVzY;Kanye West;Gold Digger ft. Jamie Foxx;2009
147;;https://music.youtube.com/watch?v=VpvyG2NrS1Y;Fat Joe;What's Luv? ft. Ashanti;2012
148;;https://music.youtube.com/watch?v=GtUVQei3nX4;Snoop Dogg;Drop It Like It's Hot  ft. Pharrell Williams;2009
149;;https://music.youtube.com/watch?v=XPpTgCho5ZA;Maroon 5;This Love;2009
150;;https://music.youtube.com/watch?v=d2smz_1L2_0;Lady Gaga;Paparazzi;2009
151;;https://music.youtube.com/watch?v=5qm8PH4xAss;50 Cent;In Da Club;2009
152;;https://music.youtube.com/watch?v=bESGLojNYSo;Lady Gaga;Poker Face;2009
153;;https://music.youtube.com/watch?v=YVkUvmDQ3HY;Eminem;Without Me;2009
154;;https://music.youtube.com/watch?v=GxBSyx85Kp8;Usher;Yeah!  ft. Lil Jon, Ludacris;2015
155;;https://music.youtube.com/watch?v=bKDdT_nyP54;Akon;Smack That  ft. Eminem;2009
156;;https://music.youtube.com/watch?v=0J3vgcE5i2o;Nelly Furtado;Promiscuous  ft. Timbaland;2009
157;;https://music.youtube.com/watch?v=DUT5rEU6pqM;Shakira;Hips Don't Lie  ft. Wyclef Jean;2009
158;;https://music.youtube.com/watch?v=CvBfHwUxHIk;Rihanna;Umbrella  ft. JAY-Z;2009
159;;https://music.youtube.com/watch?v=-N4jf6rtyuw;Gnarls Barkley;Crazy;2009
160;;https://music.youtube.com/watch?v=znlFu_lemsU;Mary J. Blige;Family Affair;2009
161;;https://music.youtube.com/watch?v=sTMgX1PDGAE;Shaggy;It Wasn't Me;2019
162;;https://music.youtube.com/watch?v=LOZuxwVk7TU;Britney Spears;Toxic;2009
163;;https://music.youtube.com/watch?v=HyHNuVaZJ-k;Gorillaz;Feel Good Inc.;2016
164;;https://music.youtube.com/watch?v=kTHNpusq654;Katy Perry;Hot N Cold;2008
165;;https://music.youtube.com/watch?v=eJO5HU_7_1w;Eminem;The Real Slim Shady;2010
166;;https://music.youtube.com/watch?v=SRcnnId15BA;50 Cent;Candy Shop  ft. Olivia;2009
167;;https://music.youtube.com/watch?v=4m1EFMoRFvY;Beyoncé;Single Ladies (Put a Ring on It) (Video Version);2009
168;;https://music.youtube.com/watch?v=H64QG4UsrGI;Mario;Let Me Love You;2014
169;;https://music.youtube.com/watch?v=ViwtNLUqkMY;Beyoncé;Crazy In Love ft. JAY Z;2009
170;;https://music.youtube.com/watch?v=iEe_eraFWWs;The Black Eyed Peas;My Humps;2009
171;;https://music.youtube.com/watch?v=uSD4vsh1zDA;The Black Eyed Peas;I Gotta Feeling;2009
172;;https://music.youtube.com/watch?v=weRHyjj34ZE;Shakira;Whenever, Wherever;2009
173;;https://music.youtube.com/watch?v=PWgvGjAhvIw;Outkast;Hey Ya!;2009
174;;https://music.youtube.com/watch?v=yd8jh9QYfEs;Rihanna;Don't Stop The Music;2009
175;;https://music.youtube.com/watch?v=U5rLz5AZBIA;Timbaland;The Way I Are ft. Keri Hilson, D.O.E., Sebastian;2009
176;;https://music.youtube.com/watch?v=iP6XpLQM2Cs;Ke$ha;TiK ToK;2009
177;;https://music.youtube.com/watch?v=UDApZhXTpH8;50 Cent;P.I.M.P. (Snoop Dogg Remix) ft. Snoop Dogg, G-Unit;2009
178;;https://music.youtube.com/watch?v=e82VE8UtW8A;Rihanna;Rude Boy;2010
179;;https://music.youtube.com/watch?v=0habxsuXW4g;Mariah Carey;We Belong Together;2009
180;;https://music.youtube.com/watch?v=2IH8tNQAzSs;Lil Wayne;Lollipop  ft. Static;2009
181;;https://music.youtube.com/watch?v=8UFIYGkROII;Soulja Boy Tell'em;Crank That;2009
182;;https://music.youtube.com/watch?v=RQa7SvVCdZk;Christina Aguilera, Lil' Kim, Mya, P!nk;Lady Marmalade;2009
183;;https://music.youtube.com/watch?v=c18441Eh_WE;Kylie Minogue;Can't Get You Out Of My Head;2009
184;;https://music.youtube.com/watch?v=YNSxNsr4wmA;The Pussycat Dolls;Don't Cha  ft. Busta Rhymes;2009
185;;https://music.youtube.com/watch?v=EDwb9jOVRtU;Madonna;Hung Up;2009
186;;https://music.youtube.com/watch?v=FGBhQbmPwH8;Daft Punk;One More Time;2009
187;;https://music.youtube.com/watch?v=U2waT9TxPU0;Flo Rida;Low;2009
188;;https://music.youtube.com/watch?v=2Abk1jAONjw;Lady Gaga;Just Dance  ft. Colby O'Donis;2009
189;;https://music.youtube.com/watch?v=dW2MmuA1nI4;Sean Paul;Temperature;2009
190;;https://music.youtube.com/watch?v=AxFhwtwiw6o;Diddy;Last Night;2016
191;;https://music.youtube.com/watch?v=IxszlJppRQI;Ne;Yo - So Sick;2009
192;;https://music.youtube.com/watch?v=p_RqWocthcc;Keri Hilson;Knock You Down  ft. Kanye West, Ne-Yo;2009
193;;https://music.youtube.com/watch?v=rMqayQ-U74s;Britney Spears;Womanizer;2009
194;;https://music.youtube.com/watch?v=u2_E62NY3hg;Nina Sky;Move Ya Body  ft. Jabba;2021
195;;https://music.youtube.com/watch?v=CtwJvgPJ9xw;Chamillionaire;Ridin'  ft. Krayzie Bone;2009
196;;https://music.youtube.com/watch?v=6vwNcNOTVzY;Kanye West;Gold Digger ft. Jamie Foxx;2009
197;;https://music.youtube.com/watch?v=VpvyG2NrS1Y;Fat Joe;What's Luv? ft. Ashanti;2012
198;;https://music.youtube.com/watch?v=GtUVQei3nX4;Snoop Dogg;Drop It Like It's Hot  ft. Pharrell Williams;2009
199;;https://music.youtube.com/watch?v=XPpTgCho5ZA;Maroon 5;This Love;2009
200;;https://music.youtube.com/watch?v=iBHNgV6_znU;Ciara;1, 2 Step  ft. Missy Elliott;2009
201;;https://music.youtube.com/watch?v=5qm8PH4xAss;50 Cent;In Da Club;2009
