id;youtube_url;artist;title;year
1;https://music.youtube.com/watch?v=-N4jf6rtyuw;Gnarls Barkley;Crazy;2006
2;https://music.youtube.com/watch?v=U4zA0xnBEJU;Tears for Fears;Everybody Wants To Rule The World;1985
3;https://music.youtube.com/watch?v=I_izvAbhExY;Bee Gees;Stayin' Alive;1990
4;https://music.youtube.com/watch?v=8WYHDfJDPDc;Nelly;Dilemma  ft. Kelly Rowland;2002
5;https://music.youtube.com/watch?v=djV11Xbc914;a;ha - Take On Me;2002
6;https://music.youtube.com/watch?v=0hGhl7ki3HM;Fleetwood Mac;Don't Stop (2004 Remaster);1977
7;https://music.youtube.com/watch?v=5HeU6oWVnzI;Pulp;Disco 2000;1995
8;https://music.youtube.com/watch?v=HyHNuVaZJ-k;Gorillaz;Feel Good Inc.;2005
9;https://music.youtube.com/watch?v=PIb6AZdTr-A;Cyndi Lauper;Girls Just Want To Have Fun;1983
10;https://music.youtube.com/watch?v=SDTZ7iX4vTQ;Foster The People;Pumped Up Kicks;2011
11;https://music.youtube.com/watch?v=kTHNpusq654;Katy Perry;Hot N Cold;2008
12;https://music.youtube.com/watch?v=WpYeekQkAdc;The Black Eyed Peas;Where Is The Love?;2003
13;https://music.youtube.com/watch?v=qeMFqkcPYcg;Eurythmics, Annie Lennox, Dave Stewart;Sweet Dreams;1983
14;https://music.youtube.com/watch?v=HgzGwKwLmgM;Queen;Don't Stop Me Now;1978
15;https://music.youtube.com/watch?v=Oextk-If8HQ;Keane;Somewhere Only We Know;2004
16;https://music.youtube.com/watch?v=weRHyjj34ZE;Shakira;Whenever, Wherever;2001
17;https://music.youtube.com/watch?v=5NPBIwQyPWE;Avril Lavigne;Complicated;2002
18;https://music.youtube.com/watch?v=3wxyN3z9PL4;Starship;Nothing's Gonna Stop Us Now;1987
19;https://music.youtube.com/watch?v=LOZuxwVk7TU;Britney Spears;Toxic;2003
20;https://music.youtube.com/watch?v=kijpcUv-b8M;Queen;Somebody To Love;1976
21;https://music.youtube.com/watch?v=c18441Eh_WE;Kylie Minogue;Can't Get You Out Of My Head;2001
22;https://music.youtube.com/watch?v=WGU_4-5RaxU;Blondie;Heart Of Glass;1978
23;https://music.youtube.com/watch?v=6hzrDeceEKc;Oasis;Wonderwall;1995
24;https://music.youtube.com/watch?v=pIgZ7gMze7A;Wham!;Wake Me Up Before You Go-Go;1984
25;https://music.youtube.com/watch?v=f4Mc-NYPHaQ;Queen;I Want To Break Free;1984
26;https://music.youtube.com/watch?v=9n3A_-HRFfc;Cher;If I Could Turn Back Time;1989
27;https://music.youtube.com/watch?v=CdqoNKCCt7A;Simple Minds;Don't You (Forget About Me);2025
28;https://music.youtube.com/watch?v=KUmZp8pR1uc;Amy Winehouse;Rehab;2006
29;https://music.youtube.com/watch?v=PGNiXGX2nLU;Dead Or Alive;You Spin Me Round;1983
30;https://music.youtube.com/watch?v=uAOR6ib95kQ;Gorillaz;DARE;2005
31;https://music.youtube.com/watch?v=XPpTgCho5ZA;Maroon 5;This Love;2002
32;https://music.youtube.com/watch?v=wV1FrqwZyKw;Lady Gaga;Born This Way;2011
33;https://music.youtube.com/watch?v=4JkIs37a2JE;Jamiroquai;Virtual Insanity;2005
34;https://music.youtube.com/watch?v=Kgjkth6BRRY;Gwen Stefani;Hollaback Girl;2004
35;https://music.youtube.com/watch?v=ZHwVBirqD2s;Elton John;I'm Still Standing;1983
36;https://music.youtube.com/watch?v=hCuMWrfXG4E;Billy Joel;Uptown Girl;1983
37;https://music.youtube.com/watch?v=YF1R0hc5Q2I;Fleetwood Mac;Everywhere;1987
38;https://music.youtube.com/watch?v=tT4d1LQy4es;Alannah Myles;Black Velvet;1989
39;https://music.youtube.com/watch?v=z0qW9P-uYfM;Elton John, Kiki Dee;Don't Go Breaking My Heart (with Kiki Dee);2016
40;https://music.youtube.com/watch?v=VUjdiDeJ0xg;Taio Cruz;Dynamite;2010
41;https://music.youtube.com/watch?v=uPudE8nDog0;The Human League;Don't You Want Me;1981
42;https://music.youtube.com/watch?v=0yBnIUX0QAE;Toploader;Dancing in the Moonlight;2000
43;https://music.youtube.com/watch?v=zO6D_BAuYCI;Queen;Crazy Little Thing Called Love;1980
44;https://music.youtube.com/watch?v=VbD_kBJc_gI;David Bowie;Let's Dance;1983
45;https://music.youtube.com/watch?v=RkWQDDv_qdg;Blue;All Rise;2001
46;https://music.youtube.com/watch?v=Nntd2fgMUYw;Eagle;Eye Cherry - Save Tonight;2009
47;https://music.youtube.com/watch?v=R7UrFYvl5TE;Kelly Clarkson;Since U Been Gone (VIDEO);2010
48;https://music.youtube.com/watch?v=XcATvu5f9vE;Robert Palmer;Addicted To Love;1985
49;https://music.youtube.com/watch?v=ILWSp0m9G2U;Irene Cara;Flashdance What A Feeling;1983
50;https://music.youtube.com/watch?v=pc0mxOXbWIU;CeeLo Green;FUCK YOU;2010
51;https://music.youtube.com/watch?v=_71w4UA2Oxo;George Harrison;Got My Mind Set On You (Version II);2016
52;https://music.youtube.com/watch?v=Ye9hGotPPVk;Elton John;I'm Still Standing;1983
53;https://music.youtube.com/watch?v=fn8JP4rUP2I;Lady Gaga;Born This Way;2011
54;https://music.youtube.com/watch?v=ftdZ363R9kQ;Stevie Wonder;Superstition;2002
55;https://music.youtube.com/watch?v=6eyCDj1s4NI;Bill Medley;"The Time Of My Life (From ""Dirty Dancing"" Soundtrack)";2017
56;https://music.youtube.com/watch?v=_6FBfAQ-NDE;Depeche Mode;Just Can't Get Enough (Remastered);2009
