id;hitster_url;youtube_url;artist;title;year
1;http://hitstergame.com/de/00001;https://www.youtube.com/watch?v=KzEOvyDcVas;Rudi Carrell;Wann wird's mal wieder richtig Sommer;1975
2;http://hitstergame.com/de/00002;https://www.youtube.com/watch?v=uq-gYOrU8bA;Paul Simon;You Can Call Me Al;1986
3;http://hitstergame.com/de/00003;https://www.youtube.com/watch?v=SGyOaCXr8Lw;The Rolling Stones;Start Me Up;1981
4;http://hitstergame.com/de/00004;https://www.youtube.com/watch?v=-CCgDvUM4TM;Chubby Checker;The Twist;1960
5;http://hitstergame.com/de/00005;https://www.youtube.com/watch?v=yyDUC1LUXSU;Robin Thicke feat. T.I. & Pharrell Williams;Blurred Lines;2013
6;http://hitstergame.com/de/00006;https://www.youtube.com/watch?v=dLhFDYQHDQY;Taio Cruz, Flo Rida;Hangover;2011
7;http://hitstergame.com/de/00007;https://www.youtube.com/watch?v=FGBhQbmPwH8;Daft Punk;One More Time;2000
8;http://hitstergame.com/de/00008;https://www.youtube.com/watch?v=T4sV3lqzKqQ;T'Pau;China In Your Hand;1987
9;http://hitstergame.com/de/00009;https://www.youtube.com/watch?v=GC5E8ie2pdM;Tina Turner;The Best;1989
10;http://hitstergame.com/de/00010;https://www.youtube.com/watch?v=SFzMs2SN--s;Van McCoy & The Soul City Symphony;The Hustle;1975
11;http://hitstergame.com/de/00011;https://youtu.be/L0QAxIKf8G4?t=16;Erma Franklin;Piece of My Heart;1967
12;http://hitstergame.com/de/00012;https://www.youtube.com/watch?v=2ssCL292DQA;Eric Carmen;Hungry Eyes;1987
13;http://hitstergame.com/de/00013;https://www.youtube.com/watch?v=JmcA9LIIXWw;Culture Club;Karma Chameleon;1983
14;http://hitstergame.com/de/00014;https://www.youtube.com/watch?v=Fpu5a0Bl8eY;Nena;99 Luftballons;1983
15;http://hitstergame.com/de/00015;https://www.youtube.com/watch?v=Pmi0XqTlEY8;Torfrock;Beinhart;1990
16;http://hitstergame.com/de/00016;https://www.youtube.com/watch?v=5qm8PH4xAss;50 Cent;In Da Club;2003
17;http://hitstergame.com/de/00017;https://www.youtube.com/watch?v=_sQGwDeambg;Yazoo;Don't Go;1982
18;http://hitstergame.com/de/00018;https://www.youtube.com/watch?v=LX366rnYTB4;Whitney Houston;I Wanna Dance with Somebody (Who Loves Me);1987
19;http://hitstergame.com/de/00019;https://www.youtube.com/watch?v=LHCob76kigA;Lukas Graham;7 Years;2015
20;http://hitstergame.com/de/00020;https://www.youtube.com/watch?v=-9R3_53qe08;Peter Kraus;Sugar-Baby;1958
21;http://hitstergame.com/de/00021;https://www.youtube.com/watch?v=YqeW9_5kURI;Major Lazer & DJ Snake;Lean On (feat. MØ);2015
22;http://hitstergame.com/de/00022;https://www.youtube.com/watch?v=u2pySXCmwpc;CRO;Einmal um die Welt;2012
23;http://hitstergame.com/de/00023;https://www.youtube.com/watch?v=2OqgIupSf5k;Trude Herr;Ich will keine Schokolade;1960
24;http://hitstergame.com/de/00024;https://www.youtube.com/watch?v=uC08L4xxjNM;Max Giesinger;80 Millionen;2016
25;http://hitstergame.com/de/00025;https://www.youtube.com/watch?v=mGgMZpGYiy8;The Cure;Friday I'm In Love;1992
26;http://hitstergame.com/de/00026;https://www.youtube.com/watch?v=HEXWRTEbj1I;Haddaway;What Is Love;1993
27;http://hitstergame.com/de/00027;https://www.youtube.com/watch?v=k9EYjn5f_nE;Andreas Bourani;Auf uns;2014
28;http://hitstergame.com/de/00028;https://www.youtube.com/watch?v=1k8craCGpgs;Journey;Don't Stop Believin';1981
29;http://hitstergame.com/de/00029;https://www.youtube.com/watch?v=LTrk4X9ACtw;Enya;Orinoco Flow;1988
30;http://hitstergame.com/de/00030;https://www.youtube.com/watch?v=fZMFF8QH3ew;Reinhard Mey;Über den Wolken;1974
31;http://hitstergame.com/de/00031;https://www.youtube.com/watch?v=KUmZp8pR1uc;Amy Winehouse;Rehab;2006
32;http://hitstergame.com/de/00032;https://www.youtube.com/watch?v=mUUJxMiznfc;Siw Malmkvist;Liebeskummer lohnt sich nicht;1964
33;http://hitstergame.com/de/00033;https://www.youtube.com/watch?v=gD6cPE2BHic;Sylvester;You Make Me Feel (Mighty Real);1978
34;http://hitstergame.com/de/00034;https://www.youtube.com/watch?v=-35W_FWCT9Q;Lynyrd Skynyrd;Sweet Home Alabama;1974
35;http://hitstergame.com/de/00035;https://www.youtube.com/watch?v=eUWZqbumaZo;The Hollies;He Ain't Heavy He's My Brother;1969
36;http://hitstergame.com/de/00036;https://www.youtube.com/watch?v=TGMSNWOzhtM;Jürgen Marcus;Eine neue Liebe ist wie ein neues Leben;1972
37;http://hitstergame.com/de/00037;https://www.youtube.com/watch?v=SsmVgoXDq2w;The Bangles;Manic Monday;1986
38;http://hitstergame.com/de/00038;https://www.youtube.com/watch?v=C11MzbEcHlw;Meat Loaf;Paradise By the Dashboard Light;1978
39;http://hitstergame.com/de/00039;https://www.youtube.com/watch?v=Gf1WT8VEZxk;Limahl;Never Ending Story;1984
40;http://hitstergame.com/de/00040;https://www.youtube.com/watch?v=9TQKyDD9Yig;Mabel;Don't Call Me Up;2019
41;http://hitstergame.com/de/00041;https://www.youtube.com/watch?v=GLvohMXgcBo;Red Hot Chili Peppers;Under the Bridge;1992
42;http://hitstergame.com/de/00042;https://www.youtube.com/watch?v=BzGHhaMUqSQ;Rio Reiser;König von Deutschland;1986
43;http://hitstergame.com/de/00043;https://www.youtube.com/watch?v=lZ9OP5dzkQg;Diana Ross;Upside Down;1980
44;http://hitstergame.com/de/00044;https://www.youtube.com/watch?v=TR3Vdo5etCQ;No Doubt;Don't Speak;1996
45;http://hitstergame.com/de/00045;https://www.youtube.com/watch?v=nrIPxlFzDi0;The Rolling Stones;(I Can't Get No) Satisfaction;1965
46;http://hitstergame.com/de/00046;https://www.youtube.com/watch?v=8WYHDfJDPDc;Kelly Rowland;Dilemma (feat. Kelly Rowland) Nelly;2002
47;http://hitstergame.com/de/00047;https://www.youtube.com/watch?v=LemG0cvc4oU;The Kinks;Lola;1970
48;http://hitstergame.com/de/00048;https://www.youtube.com/watch?v=0Bb_w7nOBwg;Captain Jack;Captain Jack;1995
49;http://hitstergame.com/de/00049;https://www.youtube.com/watch?v=LPn0KFlbqX8;Cyndi Lauper;True Colors;1986
50;http://hitstergame.com/de/00050;https://www.youtube.com/watch?v=PWgvGjAhvIw;Outkast;Hey Ya!;2003
51;http://hitstergame.com/de/00051;https://www.youtube.com/watch?v=SVMyUUTfk80;Joseito Fernandez;Guajira Guantanamera;1929
52;http://hitstergame.com/de/00052;https://www.youtube.com/watch?v=Eg4LUvUjUWI;Alvaro Soler;La Cintura;2018
53;http://hitstergame.com/de/00053;https://www.youtube.com/watch?v=HzfyCuPVpCY;Anastacia;Sick and Tired;2004
54;http://hitstergame.com/de/00054;https://www.youtube.com/watch?v=-9_d-sFhmRM;Chicago;If You Leave Me Now;1976
55;http://hitstergame.com/de/00055;https://www.youtube.com/watch?v=1_ReKoTY8eY;Udo Jürgens;Siebzehn Jahr, blondes Haar;1965
56;http://hitstergame.com/de/00056;https://www.youtube.com/watch?v=hAx6mYeC6pY;Sophie Ellis-Bextor;Murder On The Dancefloor;2001
57;http://hitstergame.com/de/00057;https://www.youtube.com/watch?v=pKxJca7LLNM;Dr. Alban;Sing Hallelujah!;1993
58;http://hitstergame.com/de/00058;https://www.youtube.com/watch?v=a2giXO6eyuI;Adele;Set Fire to the Rain;2011
59;http://hitstergame.com/de/00059;https://www.youtube.com/watch?v=eGUsqIPurNQ;Blümchen;Herz an Herz;1996
60;http://hitstergame.com/de/00060;https://www.youtube.com/watch?v=j09hpp3AxIE;Die Toten Hosen;Tage Wie diese;2012
61;http://hitstergame.com/de/00061;https://www.youtube.com/watch?v=4F_RCWVoL4s;Neil Diamond;Sweet Caroline;1969
62;http://hitstergame.com/de/00062;https://www.youtube.com/watch?v=1UingsUi0mI;Manfred Mann;Do Wah Diddy Diddy;1964
63;http://hitstergame.com/de/00063;https://www.youtube.com/watch?v=28MMYPoG8ag;Karat;Über sieben Brücken musst du gehn;1978
64;http://hitstergame.com/de/00064;https://www.youtube.com/watch?v=rUdw7V-FC_Q;Thelma Houston;Don't Leave Me This Way;1976
65;http://hitstergame.com/de/00065;https://www.youtube.com/watch?v=96L5sV7rqX0;Macklemore & Ryan Lewis;Can't Hold Us (feat. Ray Dalton);2011
66;http://hitstergame.com/de/00066;https://www.youtube.com/watch?v=UqON44CLaQM;Enrique Iglesias;Do You Know? (The Ping Pong Song);2007
67;http://hitstergame.com/de/00067;https://www.youtube.com/watch?v=S2lWV74yZ5o;Tic Tac Toe;Warum?;1997
68;http://hitstergame.com/de/00068;https://www.youtube.com/watch?v=3P-imA4618Y;Eddy Grant;Gimme Hope Jo'Anna;1988
69;http://hitstergame.com/de/00069;https://www.youtube.com/watch?v=n4RjJKxsamQ;Scorpions;Wind of Change;1991
70;http://hitstergame.com/de/00070;https://www.youtube.com/watch?v=aXgSHL7efKg;CHIC;Le Freak;1978
71;http://hitstergame.com/de/00071;https://www.youtube.com/watch?v=j-XKgB5guDQ;Peter Fox;Haus am See;2008
72;http://hitstergame.com/de/00072;https://www.youtube.com/watch?v=bESGLojNYSo;Lady Gaga;Poker Face;2008
73;http://hitstergame.com/de/00073;https://www.youtube.com/watch?v=bEOl38y8Nj8;Bonnie Tyler;It's a Heartache;1977
