id;youtube_url;artist;title;year
1;https://music.youtube.com/watch?v=9fWu5K_URxQ;Gunz for Hire;Hard Knock Life;2022
2;https://music.youtube.com/watch?v=Lr-gwqb0xcU;Hard Driver ;Dopamine;2023
3;https://music.youtube.com/watch?v=RVkwEYQUs_A;Dual Damage;Promises;2023
4;https://music.youtube.com/watch?v=1-A6d6QcGrQ;Mutilator;Psychedelics;2023
5;https://music.youtube.com/watch?v=eS-hCiVYMTA;Mutilator;Can You Feel It?!;2023
6;https://music.youtube.com/watch?v=c_vMUmKlgvU;Dual Damage;Unbreakable;2023
7;https://music.youtube.com/watch?v=bGY-s5Fgsnk;The Purge;WINTER BLUES;2023
8;https://music.youtube.com/watch?v=dHCr5pPrC9A;Dual Damage;Love Death;2023
9;https://music.youtube.com/watch?v=9bCcwwNh1fQ;Dual Damage;Can't Stop Us;2023
10;https://music.youtube.com/watch?v=p6hXA9-7hbs;DEEZL;DOOMSDAY (So Juice Remix);2023
11;https://music.youtube.com/watch?v=RXciWWbL4es;Fraw;The Raw Breaker;2023
12;https://music.youtube.com/watch?v=1mmPgJnJCug;Anderex;Cyberself;2023
13;https://music.youtube.com/watch?v=bsBKHri36ko;Mutilator;Toxic Rave;2023
14;https://music.youtube.com/watch?v=MZyqieEyPJw;So Juice;You Don't Know;2023
15;https://music.youtube.com/watch?v=W8OPsqGnsUE;So Juice;You Don't Know (Fraw Remix);2023
16;https://music.youtube.com/watch?v=13qAtD9E29s;Adjuzt;WITHOUT YOU;2023
17;https://music.youtube.com/watch?v=1nPCeYvTuaM;Rooler;MOVE 2 DA BEAT;2022
18;https://music.youtube.com/watch?v=DxWk6_l2NVg;Dimitri Vegas & Like Mike;Thank You (Not So Bad);2023
19;https://music.youtube.com/watch?v=dqLtTJBho3g;TIM PLVNK;ANNE KAFFEEKANNE;2024
20;https://music.youtube.com/watch?v=QuBhPjNH6dM;Levi Heron;The Glen (Levi Heron Edit);2025
21;https://music.youtube.com/watch?v=bv7kWDL1JvE;Hardwell;Falling In Love;2024
22;https://music.youtube.com/watch?v=21DDs38GCfc;Psycodelize Music;HARD TECHNO ? Voices In My Head x Freaks x Love Parade (ACINA & BONKA Mashup);2025
23;https://music.youtube.com/watch?v=NuICVUwIiCU;Sub Zero Project;Capital Of Crazy;2025
24;https://music.youtube.com/watch?v=DiDjeKRMYwA;Sefa;Infinity;2022
25;https://music.youtube.com/watch?v=TSiHF3m0kIo;Rebelion;City Lights;2022
26;https://music.youtube.com/watch?v=6dwKDY7mUz0;Brennan Heart;Wake Up!;2024
27;https://music.youtube.com/watch?v=G2R0AEKJhZA;Ran-D;Another Love;2024
28;https://music.youtube.com/watch?v=5ZfzK_8BXvA;Lunakorpz;GET RICH;2023
29;https://music.youtube.com/watch?v=ZNpO0zJRLTY;Dimitri K;Drop The Bass;2023
30;https://music.youtube.com/watch?v=r1mp6QMfWeA;Warface;Break Through This;2024
31;https://music.youtube.com/watch?v=fMxjFPWeKUs;Radical Redemption;The Mighty Arena;2022
32;https://music.youtube.com/watch?v=jb0eRDiGSSQ;Roosterz, Bössels & Royalistiq;Hard Gaan;2025
33;https://music.youtube.com/watch?v=lzSr5rNXVvQ;Aftershock;Victorious;2022
34;https://music.youtube.com/watch?v=Itp1ATJbf8Y;D-Block & S-Te-Fan;Keepers Of Our Legacy;2023
35;https://music.youtube.com/watch?v=CFOyVai_Sb8;Dimitri K;Where Have You Been;2023
36;https://music.youtube.com/watch?v=2Vf5VXLftm0;Dr. Peacock;Trip To Holland (Major Conspiracy Remix);2023
37;https://music.youtube.com/watch?v=WeROcCvtkcE;Mutilator;F#ck The Haters;2022
38;https://music.youtube.com/watch?v=i6t_RJPnW90;Missy;Real Fellas;2025
