id;hitster_url;youtube_url;artist;title;year
1;www.hitstergame.com/nl/00001;https://music.youtube.com/watch?v=E7zmRvhFEYo;Barry White;You're The First, The Last, My Everything;1988
2;www.hitstergame.com/nl/00002;https://music.youtube.com/watch?v=ExkmlgRNIhM;Cyndi Lauper;True Colors;1986
3;www.hitstergame.com/nl/00003;https://music.youtube.com/watch?v=a136H5K3OKw;the Dashboard Light;Paradise;2022
4;www.hitstergame.com/nl/00004;https://music.youtube.com/watch?v=ejblUwF2V-8;Peter!;Kom Van Dat Dak Af;2012
5;www.hitstergame.com/nl/00005;https://music.youtube.com/watch?v=zKmsZzJQJV0;Nielson;Sexy als ik dans;2016
6;www.hitstergame.com/nl/00006;https://music.youtube.com/watch?v=hToYLtkLwlw;Taio Cruz;Hangover;2011
7;www.hitstergame.com/nl/00007;https://music.youtube.com/watch?v=wU26xVT_vBU;Daft Punk;One More Time (Radio Edit);2000
8;www.hitstergame.com/nl/00008;https://music.youtube.com/watch?v=aB7yt8tF2TI;Gipsy Kings;Volare (Nel Blu di Pinto di Blu);1989
9;www.hitstergame.com/nl/00009;https://music.youtube.com/watch?v=ZRMcMuxRuKQ;Kaoma;Lambada (Original Radio Edit);1989
10;www.hitstergame.com/nl/00010;https://music.youtube.com/watch?v=SgFPE7-mha4;Bob Marley;No Woman, No Cry (Eric “E.T.” Thorngren Remix);1984
11;www.hitstergame.com/nl/00011;https://music.youtube.com/watch?v=1l_V3ennWOE;Erma Franklin;Piece of My Heart;2009
12;www.hitstergame.com/nl/00012;https://music.youtube.com/watch?v=oMfMUfgjiLg;Guns N' Roses;Sweet Child O' Mine;1987
13;www.hitstergame.com/nl/00013;https://music.youtube.com/watch?v=i5_asj1BGFs;Eurythmics;Sweet Dreams (Are Made of This);1983
14;www.hitstergame.com/nl/00014;https://music.youtube.com/watch?v=tql5Mnm6Xq4;Doe Maar;1 Nacht Alleen;1983
15;www.hitstergame.com/nl/00015;https://music.youtube.com/watch?v=Dalk4YeK5Xw;Sinead O'Connor;Nothing Compares 2 U;1990
16;www.hitstergame.com/nl/00016;https://music.youtube.com/watch?v=T6xbOPSUe8M;Beyoncé;Crazy In Love;2003
17;www.hitstergame.com/nl/00017;https://music.youtube.com/watch?v=wnKc4zi0MLA;Rick James;Super Freak;1981
18;www.hitstergame.com/nl/00018;https://music.youtube.com/watch?v=jvhDx19W9M0;De Dijk;Mag Het Licht Uit;1987
19;www.hitstergame.com/nl/00019;https://music.youtube.com/watch?v=31crA53Dgu0;Sia;Cheap Thrills (Performance Edit);2022
20;www.hitstergame.com/nl/00020;https://music.youtube.com/watch?v=_odAMdIXX_E;The Platters;Smoke Gets in Your Eyes;1959
21;www.hitstergame.com/nl/00021;https://music.youtube.com/watch?v=vTMAa6zZ7jY;Lukas Graham;7 Years;2015
22;www.hitstergame.com/nl/00022;https://music.youtube.com/watch?v=cVWOEx4Xdhs;Lorde;Royals;2013
23;www.hitstergame.com/nl/00023;https://music.youtube.com/watch?v=KppzgE2enQM;Jacques Brel;Marieke;2003
24;www.hitstergame.com/nl/00024;https://music.youtube.com/watch?v=D126_4Nd9-k;Laura Jansen;Wicked World;2009
25;www.hitstergame.com/nl/00025;https://music.youtube.com/watch?v=r6FVk2k4qsM;2 Unlimited;No Limit;1993
26;www.hitstergame.com/nl/00026;https://music.youtube.com/watch?v=yGxHDmHoqXc;The Cranberries;Zombie;1994
27;www.hitstergame.com/nl/00027;https://music.youtube.com/watch?v=1V4fLjFP3OM;Alessia Cara;Scars To Your Beautiful;2015
28;www.hitstergame.com/nl/00028;https://music.youtube.com/watch?v=FXG_I_tf_i4;Rupert Holmes;Escape (The Pina Colada Song);1979
29;www.hitstergame.com/nl/00029;https://music.youtube.com/watch?v=uriYzZzYcY8;Enya;Orinoco Flow;1988
30;www.hitstergame.com/nl/00030;https://music.youtube.com/watch?v=Sj_9CiNkkn4;ABBA;Waterloo;1974
31;www.hitstergame.com/nl/00031;https://music.youtube.com/watch?v=egQv1NClZT8;Bob Sinclar;World, Hold On (feat. Steve Edwards);2022
32;www.hitstergame.com/nl/00032;https://music.youtube.com/watch?v=b5DfwGAej-k;James Brown;I Feel Good (I Got You);1966
33;www.hitstergame.com/nl/00033;https://music.youtube.com/watch?v=ZmlVEgQCZj0;Normaal;Oerend Hard (single versie);1977
34;www.hitstergame.com/nl/00034;https://music.youtube.com/watch?v=LLbew85exp0;Billy Joel;Piano Man;1973
35;www.hitstergame.com/nl/00035;https://music.youtube.com/watch?v=YEESfv-11ng;The Beatles;Get Back (Remastered 2015);2000
36;www.hitstergame.com/nl/00036;https://music.youtube.com/watch?v=-IBHxzg5tmA;Plastic Bertrand;Ca plane pour moi;1998
37;www.hitstergame.com/nl/00037;https://music.youtube.com/watch?v=-4JUMX4VjFA;Lionel Richie;Dancing On The Ceiling;1986
38;www.hitstergame.com/nl/00038;https://music.youtube.com/watch?v=vb5a-GYty-o;Patrick Hernandez;Born to Be Alive (The Original);1978
39;www.hitstergame.com/nl/00039;https://music.youtube.com/watch?v=fMLUJVUtA4c;Henny Vrienten;Als Je Wint;1983
40;www.hitstergame.com/nl/00040;https://music.youtube.com/watch?v=DWFtdiULbWM;Mabel;Don't Call Me Up;2019
41;www.hitstergame.com/nl/00041;https://music.youtube.com/watch?v=ljUtuoFt-8c;Nirvana;Smells Like Teen Spirit;1991
42;www.hitstergame.com/nl/00042;https://music.youtube.com/watch?v=v1gWtGzbv_w;The Bangles;Manic Monday;1985
43;www.hitstergame.com/nl/00043;https://music.youtube.com/watch?v=cO4TDxMDBSI;Amii Stewart;Knock On Wood;2024
44;www.hitstergame.com/nl/00044;https://music.youtube.com/watch?v=ZyhrYis509A;Aqua;Barbie Girl;1997
45;www.hitstergame.com/nl/00045;https://music.youtube.com/watch?v=TDmidrIDB4o;Nancy Sinatra;These Boots Are Made for Walkin';2021
46;www.hitstergame.com/nl/00046;https://music.youtube.com/watch?v=UeWot3ZGNHs;Nelly;Dilemma;2002
47;www.hitstergame.com/nl/00047;https://music.youtube.com/watch?v=wVI9iEbqFyo;Mungo Jerry;In the Summertime;1970
48;www.hitstergame.com/nl/00048;https://music.youtube.com/watch?v=rc0JQsHIxJU;Eros Ramazzotti;Più bella cosa;1996
49;www.hitstergame.com/nl/00049;https://music.youtube.com/watch?v=3337DLTPOJE;Herman van Veen;Anne;1986
50;www.hitstergame.com/nl/00050;https://music.youtube.com/watch?v=_VXUiAJi5KY;50 Cent;In Da Club;2003
51;www.hitstergame.com/nl/00051;https://music.youtube.com/watch?v=craeb9A7MQ8;FreezyCRO;Joseito Fernandez Guantanamera HQ;2022
52;www.hitstergame.com/nl/00052;https://music.youtube.com/watch?v=DPXHMBKY39M;Lady Gaga;Shallow;2018
53;www.hitstergame.com/nl/00053;https://music.youtube.com/watch?v=JqJWHIzKmj0;Mark Ronson feat. Amy Winehouse;Valerie;2007
54;www.hitstergame.com/nl/00054;https://music.youtube.com/watch?v=wJZf99CX9e8;Creedence Clearwater Revival;Have You Ever Seen The Rain;2025
55;www.hitstergame.com/nl/00055;https://music.youtube.com/watch?v=CK76rtzHETU;The Supremes;You Can't Hurry Love;1966
56;www.hitstergame.com/nl/00056;https://music.youtube.com/watch?v=hhSLkkLl750;Nickelback;How You Remind Me;2001
57;www.hitstergame.com/nl/00057;https://music.youtube.com/watch?v=FpkawF5GWMI;Ace of Base;All That She Wants;1993
58;www.hitstergame.com/nl/00058;https://music.youtube.com/watch?v=xE6NE-N0Pdk;Jessie J;Price Tag;2011
59;www.hitstergame.com/nl/00059;https://music.youtube.com/watch?v=EtNZnhxWLHo;The Offspring;Self Esteem;1994
60;www.hitstergame.com/nl/00060;https://music.youtube.com/watch?v=KZ-daHDx6HA;Loreen;Euphoria;2012
61;www.hitstergame.com/nl/00061;https://music.youtube.com/watch?v=GjbWxRM9H2U;Donovan;Atlantis;1969
62;www.hitstergame.com/nl/00062;https://music.youtube.com/watch?v=8Jtokmp8zoE;The Four Tops ;I Can't Help Myself (Sugar Pie, Honey Bunch);1965
63;www.hitstergame.com/nl/00063;https://music.youtube.com/watch?v=ufQUxoidxkM;Boston;More Than a Feeling;1976
64;www.hitstergame.com/nl/00064;https://music.youtube.com/watch?v=wkI6_t935Rg;Frankie Valli and the Four Seasons;December, 1963 (Oh, What a Night);2014
65;www.hitstergame.com/nl/00065;https://music.youtube.com/watch?v=QMzkaOY0bKA;Icona Pop;I Love It (feat. Charli XCX);2013
66;www.hitstergame.com/nl/00066;https://music.youtube.com/watch?v=sXA5OILKitY;Amy Macdonald;This Is The Life;2007
67;www.hitstergame.com/nl/00067;https://music.youtube.com/watch?v=0AAbY9Pvp6A;Chumbawamba;Tubthumping;1997
68;www.hitstergame.com/nl/00068;https://music.youtube.com/watch?v=ysPdibe1R3o;Neneh Cherry;Buffalo Stance;1989
69;www.hitstergame.com/nl/00069;https://music.youtube.com/watch?v=9k9ZNf_aJUM;Fluitsma & Van Tijn;15 Miljoen Mensen;2012
70;www.hitstergame.com/nl/00070;https://music.youtube.com/watch?v=LDx-E_GkJKE;Commodores;Easy;1977
71;www.hitstergame.com/nl/00071;https://music.youtube.com/watch?v=Q_OFkGvTf9I;Ilse DeLange;So Incredible;2008
72;www.hitstergame.com/nl/00072;https://music.youtube.com/watch?v=bESGLojNYSo;Lady Gaga;Poker Face;2008
73;www.hitstergame.com/nl/00073;https://music.youtube.com/watch?v=cWqcgPmCbDQ;The Trammps;Disco Inferno;1976
74;www.hitstergame.com/nl/00074;https://music.youtube.com/watch?v=QNbU7hO6pHM;Ritchie Valens;La Bamba;1959
75;www.hitstergame.com/nl/00075;https://music.youtube.com/watch?v=UscEO2ITyug;The Human League;Don't You Want Me;1981
76;www.hitstergame.com/nl/00076;https://music.youtube.com/watch?v=tipM2_AWvUw;La Donna E Mobile (Rigoletto;Verdi);2022
77;www.hitstergame.com/nl/00077;https://music.youtube.com/watch?v=9ssQKlLxBdQ;Imagine Dragons;Thunder;2017
78;www.hitstergame.com/nl/00078;https://music.youtube.com/watch?v=lyGQD1cH4xI;Richard Marx;Right Here Waiting;1989
79;www.hitstergame.com/nl/00079;https://music.youtube.com/watch?v=P_lvrzqFA1E;Leo Sayer;When I Need You;1976
80;www.hitstergame.com/nl/00080;https://music.youtube.com/watch?v=IDBVW4BXZPo;Linda Ronstadt;Blue Bayou;1977
81;www.hitstergame.com/nl/00081;https://music.youtube.com/watch?v=C7T4aQMxTTM;The Archies;Sugar Sugar;1969
