id;youtube_url;artist;title;year
1;https://music.youtube.com/watch?v=uncjJbMPELI;Danny Vera;Roller Coaster;2020
2;https://music.youtube.com/watch?v=xG16sdjLtc0;This Is Queen;Bohemian Rhapsody (Remastered 2011);2020
3;https://music.youtube.com/watch?v=811QZGDysx0;Eagles;Hotel California (2013 Remaster);1976
4;https://music.youtube.com/watch?v=39BWh-wEl3Y;Led Zeppelin;Stairway to Heaven (Remaster);1971
5;https://music.youtube.com/watch?v=k4V3Mo61fJM;Coldplay;Fix You;2005
6;https://music.youtube.com/watch?v=lXgkuM2NhYI;David Bowie;Heroes;1977
7;https://music.youtube.com/watch?v=gxEPV4kolz0;Billy Joel;Piano Man;1973
8;https://music.youtube.com/watch?v=IXdNnw99-Ic;Pink Floyd;Wish You Were Here;1975
9;https://music.youtube.com/watch?v=4q9UafsiQ6k;Chaïma Chorfane;Pearl Jam;2020
10;https://music.youtube.com/watch?v=FTQbiNvZqaY;Toto;Africa;1982
11;https://music.youtube.com/watch?v=OorZcOzNcgE;Deep Purple;Child In Time - Live;1972
12;https://music.youtube.com/watch?v=2bqm4gRY3mA;Queen;Love Of My Life (Remastered 2011);1975
13;https://music.youtube.com/watch?v=8SbUC-UaAxE;Guns N' Roses;November Rain;1991
14;https://music.youtube.com/watch?v=x-xTttimcNk;Pink Floyd;Comfortably Numb;1979
15;https://music.youtube.com/watch?v=GWlsA6K5Q-w;Boudewijn de Groot;Avond (High Quality);2020
16;https://music.youtube.com/watch?v=tAGnKpE4NCI;Metallica;Nothing Else Matters;2021
17;https://music.youtube.com/watch?v=TvnYmWpD_T8;Prince;Purple Rain;1984
18;https://music.youtube.com/watch?v=jhdFe3evXpk;Dire Straits;Brothers In Arms;1985
19;https://music.youtube.com/watch?v=u9Dg-g7t2l4;Disturbed;The Sound Of Silence;2024
20;https://music.youtube.com/watch?v=lc6F47Z6PI4;Bruce Springsteen;The River (The River Tour, Tempe 1980);2020
21;https://music.youtube.com/watch?v=WTO7_OQTEk4;normaal;de boer dat is de keerl;2014
22;https://music.youtube.com/watch?v=v2AC41dglnM;AC/DC;Thunderstruck;1990
23;https://music.youtube.com/watch?v=WM8bTdBs-cw;Metallica;One;1988
24;https://music.youtube.com/watch?v=sVg_7QB1F1s;Shine On You Crazy Diamond (Pts. 1;5);2020
25;https://music.youtube.com/watch?v=ckM51xoTC2U;Golden Earring;Radar Love;2008
26;https://music.youtube.com/watch?v=C8Ff5OEUzd8;Het Dorp;Wim Sonneveld;2020
27;https://music.youtube.com/watch?v=8Pa9x9fZBtY;Dire Straits;Sultans Of Swing (Alchemy Live);2020
28;https://music.youtube.com/watch?v=GXjn_z4UrxI;Simon & Garfunkel;The sound of silence (acoustic version);1964
29;https://music.youtube.com/watch?v=rAR6XKHfXY0;Klein Orkest;Over de muur;1996
30;https://music.youtube.com/watch?v=8AHCfZTRGiI;Johnny Cash;Hurt;2002
31;https://music.youtube.com/watch?v=1w7OgIMMRc4;Guns N' Roses;Sweet Child O' Mine;1987
32;https://music.youtube.com/watch?v=XTb9GNIxpMk;Pearl Jam;Just Breathe;2009
